Date,M2MS,FedFundsRate,CPI,Eggs,Lumber,ShiftedLumber
1979-03-01,1387.8,10.09,9.69,0.82,106.30,106.30
1979-06-01,1423.0,10.29,10.28,0.82,109.43,109.43
1979-09-01,1454.1,11.43,11.00,0.82,105.40,105.40
1979-12-01,1473.7,13.78,12.76,0.82,103.63,103.63
1980-03-01,1499.8,17.19,14.36,0.76,99.40,99.40
1980-06-01,1529.2,9.47,15.81,0.86,110.77,110.77
1980-09-01,1574.0,10.87,13.14,0.94,111.03,111.03
1980-12-01,1599.8,18.90,12.73,0.91,107.87,107.87
1981-03-01,1636.6,14.70,10.36,0.86,108.57,108.57
1981-06-01,1670.3,19.10,9.25,0.88,105.43,106.30
1981-09-01,1706.0,15.87,12.26,0.94,101.60,109.43
1981-12-01,1755.5,12.37,9.88,0.96,101.83,105.40
1982-03-01,1786.5,14.68,8.92,0.84,101.03,103.63
1982-06-01,1826.0,14.15,8.91,0.83,99.07,99.40
1982-09-01,1858.4,10.31,6.00,0.84,98.10,110.77
1982-12-01,1905.9,8.95,4.52,0.82,102.50,111.03
1983-03-01,2015.2,8.77,4.86,0.84,105.70,107.87
1983-06-01,2053.5,8.98,2.84,0.89,106.40,108.57
1983-09-01,2083.2,9.45,2.94,1.03,106.03,105.43
1983-12-01,2123.5,9.47,4.47,1.26,107.17,101.60
1984-03-01,2175.2,9.91,4.65,1.05,102.70,101.83
1984-06-01,2215.1,11.06,4.79,0.86,104.37,101.03
1984-09-01,2244.4,11.30,5.14,0.84,102.07,99.07
1984-12-01,2306.4,8.38,5.05,0.77,98.27,98.10
1985-03-01,2366.2,8.58,4.96,0.75,99.43,102.50
1985-06-01,2412.6,7.53,5.06,0.81,101.20,105.70
1985-09-01,2456.4,7.92,4.79,0.88,99.73,106.40
1985-12-01,2492.1,8.27,5.03,0.88,99.33,106.03
1986-03-01,2533.1,7.48,5.23,0.84,103.37,107.17
1986-06-01,2605.0,6.92,5.04,0.87,101.50,102.70
1986-09-01,2667.8,5.89,4.96,0.89,101.27,104.37
1986-12-01,2728.0,6.91,4.65,0.83,102.07,102.07
1987-03-01,2753.7,6.13,4.26,0.75,99.73,98.27
1987-06-01,2774.6,6.73,4.18,0.78,103.50,99.43
1987-09-01,2799.5,7.22,4.29,0.77,104.90,101.20
1987-12-01,2826.4,6.77,4.30,0.74,104.37,99.73
1988-03-01,2890.7,6.58,4.45,0.70,101.53,99.33
1988-06-01,2938.4,7.51,4.69,0.86,103.97,103.37
1988-09-01,2956.9,8.19,4.73,0.86,103.80,101.50
1988-12-01,2988.2,8.76,4.80,0.95,108.97,101.27
1989-03-01,2999.7,9.85,4.76,0.96,112.70,102.07
1989-06-01,3027.9,9.53,4.75,0.99,117.37,99.73
1989-09-01,3092.5,9.02,4.68,1.08,124.40,103.50
1989-12-01,3152.5,8.45,4.84,1.13,115.40,104.90
1990-03-01,3190.1,8.28,5.21,0.99,121.27,104.37
1990-06-01,3213.7,8.29,5.39,0.93,113.83,101.53
1990-09-01,3254.6,8.20,5.95,1.01,106.40,103.97
1990-12-01,3271.8,7.31,5.67,1.05,104.03,103.80
1991-03-01,3321.9,6.12,5.50,0.93,118.37,108.97
1991-06-01,3351.9,5.90,4.96,0.99,120.20,112.70
1991-09-01,3354.9,5.45,4.47,0.98,114.43,117.37
1991-12-01,3372.2,4.43,4.37,0.89,129.00,124.40
1992-03-01,3403.9,3.98,3.99,0.82,130.37,115.40
1992-06-01,3393.4,3.76,3.88,0.84,132.50,121.27
1992-09-01,3410.3,3.22,3.36,0.89,141.37,113.83
1992-12-01,3424.7,2.92,3.50,0.91,162.87,106.40
1993-03-01,3411.7,3.07,3.35,0.94,150.40,104.03
1993-06-01,3442.4,3.04,3.58,0.91,146.43,118.37
1993-09-01,3452.2,3.09,3.66,0.90,151.40,120.20
1993-12-01,3474.5,2.96,3.56,0.92,155.33,114.43
1994-03-01,3480.1,3.34,3.58,0.83,150.27,129.00
1994-06-01,3479.5,4.25,3.21,0.86,159.00,130.37
