,United States,"New York, NY","Los Angeles-Long Beach-Anaheim, CA","Chicago, IL","Dallas-Fort Worth, TX","Philadelphia, PA","Houston, TX","Washington, DC","Miami-Fort Lauderdale, FL","Atlanta, GA"
1979-03-01,47420.3259628361,52563.2590315142,73394.7799181555,60177.9134812605,62602.2419385613,41029.156954157,56301.5193146921,65920.0467562829,48088.3977900552,48610.8087821355
1979-06-01,48967.0922869303,54137.5864719447,77180.8164487474,61589.446205482,65943.2360236596,41803.4867909868,59425.8067992026,66521.6442626145,49343.6464088398,50106.6804278476
1979-09-01,50031.1429461227,55438.8162951576,80406.5874837808,61680.0950960283,68777.7237168479,42722.3581973582,60455.3202952427,69334.1126047146,49865.1933701657,51602.5520735598
1979-12-01,50986.1932938856,56434.8193697156,83785.1581994211,62495.9351109454,71310.2556763976,43692.8515928516,61077.3180324336,70732.8268069355,52022.0994475138,53891.5368737099
1980-03-01,51904.9102045053,58715.9877017679,86875.1072961373,62029.7408167071,73647.9774852127,45633.8383838384,63000.5064382307,72913.6177673875,53781.2154696133,56230.718708951
1980-06-01,52704.2458216547,59792.3136049193,90746.0325381775,62884.430356144,74660.9902690326,46325.573038073,65610.0371747212,75049.2889148646,55540.3314917127,56300.9945580784
1980-09-01,54225.0596906467,62330.5149884704,93632.2487274179,60281.5122133134,76901.3070024804,47678.0691530692,65016.6370346425,77335.3594389246,58979.0055248619,57806.9056108088
1980-12-01,54365.2029481989,61993.1591083782,95347.0006986725,60941.954130151,78362.3831329899,48720.8333333333,66503.7120844782,77876.797194623,61604.4198895028,58409.2700319009
1981-03-01,54650.6799543237,64097.617217525,97197.5746082443,63531.9224314749,80583.2188513642,50042.3562548563,64187.306718388,80223.0274693162,61233.1491712707,59995.4963407769
1981-06-01,55756.2545416796,66314.5272867025,99200.948198423,66458.5866119709,81547.5290975005,50083.6538461538,68584.1872743925,81170.5435417884,63566.8508287293,60959.2794145243
1981-09-01,56700.9239074016,69125.8262874712,102375.786006587,66523.335819504,83524.8521274566,51229.662004662,69799.5851516621,79004.7925189947,60384.5303867403,61270.5010320886
