Id,MSSubClass,LotArea,Single Family,Duplex,Floors,Quality,Condition,YearBuilt,YearRemodAdd,BsmtFi0SFY,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,Kitchen,TotRmsAbvGrd,Fireplaces,GarageCars,WoodDeckSF,OpenPorchSF,PoolArea,MoSold,YearSold,SalePrice
1,60,8450,1,0,2,7,5,2003,2003,706,856,1,856,854,1710,2,1,3,1,8,0,2,0,61,0,2,2008,208500
2,20,9600,1,0,1,6,8,1976,1976,978,1262,1,1262,0,1262,2,0,3,1,6,1,2,298,0,0,5,2007,181500
3,60,11250,1,0,2,7,5,2001,2002,486,920,1,920,866,1786,2,1,3,1,6,1,2,0,42,0,9,2008,223500
4,70,9550,1,0,2,7,5,1915,1970,216,756,1,961,756,1717,1,0,3,1,7,1,3,0,35,0,2,2006,140000
5,60,14260,1,0,2,8,5,2000,2000,655,1145,1,1145,1053,2198,2,1,4,1,9,1,3,192,84,0,12,2008,250000
6,50,14115,1,0,1.5,5,5,1993,1995,732,796,1,796,566,1362,1,1,1,1,5,0,2,40,30,0,10,2009,143000
7,20,10084,1,0,1,8,5,2004,2005,1369,1686,1,1694,0,1694,2,0,3,1,7,1,2,255,57,0,8,2007,307000
8,60,10382,1,0,2,7,6,1973,1973,859,1107,1,1107,983,2090,2,1,3,1,7,2,2,235,204,0,11,2009,200000
9,50,6120,1,0,1.5,7,5,1931,1950,0,952,1,1022,752,1774,2,0,2,2,8,2,2,90,0,0,4,2008,129900
10,190,7420,0,0,1.5,5,6,1939,1950,851,991,1,1077,0,1077,1,0,2,2,5,2,1,0,4,0,1,2008,118000
11,20,11200,1,0,1,5,5,1965,1965,906,1040,1,1040,0,1040,1,0,3,1,5,0,1,0,0,0,2,2008,129500
12,60,11924,1,0,2,9,5,2005,2006,998,1175,1,1182,1142,2324,3,0,4,1,11,2,3,147,21,0,7,2006,345000
13,20,12968,1,0,1,5,6,1962,1962,737,912,1,912,0,912,1,0,2,1,4,0,1,140,0,0,9,2008,144000
14,20,10652,1,0,1,7,5,2006,2007,0,1494,1,1494,0,1494,2,0,3,1,7,1,3,160,33,0,8,2007,279500
15,20,10920,1,0,1,6,5,1960,1960,733,1253,1,1253,0,1253,1,1,2,1,5,1,1,0,213,0,5,2008,157000
16,45,6120,1,0,1.5,7,8,1929,2001,0,832,1,854,0,854,1,0,2,1,5,0,2,48,112,0,7,2007,132000
17,20,11241,1,0,1,6,7,1970,1970,578,1004,1,1004,0,1004,1,0,2,1,5,1,2,0,0,0,3,2010,149000
18,90,10791,0,0,1,4,5,1967,1967,0,0,1,1296,0,1296,2,0,2,2,6,0,2,0,0,0,10,2006,90000
19,20,13695,1,1,1,5,5,2004,2004,646,1114,1,1114,0,1114,1,1,3,1,6,0,2,0,102,0,6,2008,159000
20,20,7560,1,0,1,5,6,1958,1965,504,1029,1,1339,0,1339,1,0,3,1,6,0,1,0,0,0,5,2009,139000
